# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    268     65     71     98     43      0      0      0      0   1512   1410   1713      4      0 
    1     69     34     35      0      0      0      0      0      0   1512   1410      0      1      0 
    0    264     65     69     98     43      0      0      0      0   1512   1410   1713      4      0 
    1     45     33     35      0      0      0      0      0      0   1512    210      0      1      0 
    0    266     65     69     98     43      0      0      0      0   1512   1410   1713      4      0 
    1    235     38     39     93     25      0      0      0      0   1512   1410   1671      4      0 
    0    266     65     69     98     43      0      0      0      0   1512   1410   1713      4      0 
    1    226     40     43     93     25      0      0      0      0   1512   1410   1671      4      0 
    0    270     65     69     98     43      0      0      0      0   1512   1410   1713      4      0 
    1    219     42     45     93     25      0      0      0      0   1512   1410   1671      4      0 
    0    262     65     69     98     43      0      0      0      0   1512   1410   1713      4      0 
    1    233     44     45     93     25      0      0      0      0   1512   1410   1671      4      0 
    0    268     64     69     98     42      0      0      0      0   1512   1410   1713      4      0 
    1    230     45     47     92     25      0      0      0      0   1512   1410   1671      4      0 
    0    265     65     69     98     42      0      0      0      0   1512   1410   1713      4      0 
    1    226     47     49     93     25      0      0      0      0   1512   1410   1671      4      0 
    0    263     65     71     98     43      0      0      0      0   1512   1410   1713      4      0 
    1    234     48     49     93     25      0      0      0      0   1512   1410   1671      4      0 
    0    272     65     71     98     43      0      0      0      0   1512   1410   1713      4      0 
    1    234     49     51     93     25      0      0      0      0   1512   1410   1671      4      0 
    0    268     65     71     98     43      0      0      0      0   1512   1410   1713      4      0 
    1    237     50     51     93     25      0      0      0      0   1512   1410   1671      4      0 
    0    264     65     71     98     42      0      0      0      0   1512   1410   1713      4      0 
    1    239     51     53     92     25      0      0      0      0   1512   1410   1671      4      0 
    0    267     65     69     98     43      0      0      0      0   1512   1410   1713      4      0 
    1    240     52     53     93     25      0      0      0      0   1512   1410   1671      4      0 
    0    270     65     69     98     43      0      0      0      0   1512   1410   1713      4      0 
    1    240     53     55     93     25      0      0      0      0   1512   1410   1671      4      0 
    0    265     65     69     98     42      0      0      0      0   1512   1410   1713      4      0 
    1    240     54     55     93     25      0      0      0      0   1512   1410   1671      4      0 
    0    265     65     69     98     42      0      0      0      0   1512   1410   1713      4      0 
    1    249     55     57     93     25      0      0      0      0   1512   1410   1671      4      0 
