# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     75     56     59      0      0      0      0      0      0   1512   1410      0      1      0 
    1     74     58     61      0      0      0      0      0      0   1512   1410      0      1      0 
    0     75     56     59      0      0      0      0      0      0   1512   1410      0      1      0 
    1     74     57     59      0      0      0      0      0      0   1512   1410      0      1      0 
    0     74     55     57      0      0      0      0      0      0   1512   1410      0      1      0 
    1     49     56     59      0      0      0      0      0      0   1512    210      0      1      0 
    0     50     54     57      0      0      0      0      0      0   1512    210      0      1      0 
    1     48     56     59      0      0      0      0      0      0   1512    210      0      1      0 
    0    272     59     61     97     30      0      0      0      0   1512   1410   2051      4      0 
    1    296     61     63     98     31      0      0      0      0   1512   1410   2245      4      0 
    0    304     62     65     97     30      0      0      0      0   1512   1410   2051      4      0 
    1    297     63     67     98     32      0      0      0      0   1512   1410   2253      4      0 
    0    298     64     67     97     30      0      0      0      0   1512   1410   2051      4      0 
    1    288     66     69     98     32      0      0      0      0   1512   1410   2245      4      0 
    0    306     65     69     97     30      0      0      0      0   1512   1410   2051      4      0 
    1    286     67     69     98     32      0      0      0      0   1512   1410   2253      4      0 
    0    313     66     69     97     29      0      0      0      0   1512   1395   2051      4      0 
    1    283     67     71     98     32      0      0      0      0   1512   1410   2245      4      0 
    0    303     67     71     97     29      0      0      0      0   1512   1410   2051      4      0 
    1    305     68     71     98     31      0      0      0      0   1512   1410   2253      4      0 
    0    311     68     71     97     29      0      0      0      0   1512   1410   2057      4      0 
    1    281     68     71     98     31      0      0      0      0   1512   1395   2253      4      0 
    0    292     68     71     97     30      0      0      0      0   1512   1395   2051      4      0 
    1    306     68     71     98     32      0      0      0      0   1512   1395   2245      4      0 
    0    300     68     71     97     30      0      0      0      0   1512   1395   2057      4      0 
    1    287     69     71     98     32      0      0      0      0   1512   1395   2253      4      0 
    0    303     69     73     97     30      0      0      0      0   1512   1395   2057      4      0 
    1    297     69     71     98     32      0      0      0      0   1512   1395   2253      4      0 
    0    284     70     73     97     29      0      0      0      0   1512   1395   2051      4      0 
    1    282     69     73     98     31      0      0      0      0   1512   1395   2253      4      0 
    0    306     70     73     97     29      0      0      0      0   1512   1395   2057      4      0 
    1    294     69     73     98     32      0      0      0      0   1512   1395   2253      4      0 
    0    287     70     73     97     29      0      0      0      0   1512   1410   2057      4      0 
    1    298     69     73     98     32      0      0      0      0   1512   1395   2253      4      0 
    0    307     70     73     97     30      0      0      0      0   1512   1410   2051      4      0 
    1    297     69     71     98     31      0      0      0      0   1512   1395   2253      4      0 
    0    306     70     73     97     30      0      0      0      0   1512   1395   2051      4      0 
    1    293     68     71     98     32      0      0      0      0   1512   1395   2245      4      0 
    0    300     70     73     97     30      0      0      0      0   1512   1395   2051      4      0 
    1    285     69     71     98     31      0      0      0      0   1512   1395   2253      4      0 
    0    297     70     73     97     29      0      0      0      0   1512   1395   2051      4      0 
    1    282     68     71     98     31      0      0      0      0   1512   1410   2253      4      0 
    0    304     70     73     97     29      0      0      0      0   1512   1395   2057      4      0 
    1    294     68     71     98     32      0      0      0      0   1512   1395   2253      4      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    302     70     73     97     29      0      0      0      0   1512   1395   2057      4      0 
    1    278     68     71     98     32      0      0      0      0   1512   1395   2253      4      0 
    0    299     70     73     97     29      0      0      0      0   1512   1395   2057      4      0 
    1    299     68     71     98     31      0      0      0      0   1512   1395   2253      4      0 
    0    304     70     73     97     30      0      0      0      0   1512   1395   2051      4      0 
    1    302     68     71     98     32      0      0      0      0   1512   1410   2253      4      0 
    0    300     70     73     97     29      0      0      0      0   1512   1395   2051      4      0 
    1    295     68     71     98     31      0      0      0      0   1512   1410   2253      4      0 
    0    305     70     73     97     29      0      0      0      0   1512   1395   2051      4      0 
    1    296     68     71     98     32      0      0      0      0   1512   1395   2253      4      0 
    0    305     70     73     97     29      0      0      0      0   1512   1395   2051      4      0 
    1    299     68     71     98     31      0      0      0      0   1512   1395   2253      4      0 
    0    283     70     73     97     29      0      0      0      0   1512   1395   2051      4      0 
    1    293     68     71     98     31      0      0      0      0   1512   1395   2253      4      0 
    0    298     70     73     97     29      0      0      0      0   1512   1395   2051      4      0 
    1    279     67     71     98     32      0      0      0      0   1512   1395   2253      4      0 
    0    288     70     73     97     29      0      0      0      0   1512   1395   2057      4      0 
    1    276     67     71     98     31      0      0      0      0   1512   1395   2253      4      0 
    0    283     70     73     97     29      0      0      0      0   1512   1395   2057      4      0 
    1    276     67     71     98     32      0      0      0      0   1512   1395   2253      4      0 
    0    302     70     73     97     29      0      0      0      0   1512   1395   2051      4      0 
    1    305     67     71     98     31      0      0      0      0   1512   1395   2253      4      0 
    0    299     70     73     97     29      0      0      0      0   1512   1395   2051      4      0 
    1    272     67     71     98     31      0      0      0      0   1512   1395   2253      4      0 
    0    309     70     75     97     29      0      0      0      0   1512   1395   2051      4      0 
    1    307     68     71     98     31      0      0      0      0   1512   1410   2253      4      0 
    0    307     70     75     97     29      0      0      0      0   1512   1395   2051      4      0 
    1    287     67     71     98     32      0      0      0      0   1512   1410   2253      4      0 
    0    306     70     75     97     29      0      0      0      0   1512   1410   2051      4      0 
    1    296     67     71     98     32      0      0      0      0   1512   1395   2253      4      0 
