# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     79     54     57      0      0      0      0      0      0   1512   1410      0      1      0 
    1     78     57     59      2      0      0      0      0      0   1512   1410      0      1      0 
    0    249     57     59     91     24      0      0      0      0   1512   1410   1717      4      0 
    1    269     60     63     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    252     59     61     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    293     63     65     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    261     61     63     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    287     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    260     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    296     66     69     96     28      0      0      0      0   1512   1410   1913      4      0 
    0    257     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    287     66     69     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    255     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    295     65     67     97     28      0      0      0      0   1512   1410   1913      4      0 
    0    259     62     65     94     25      0      0      0      0   1512   1410   1713      4      0 
    1    298     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    258     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    286     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    253     62     65     94     25      0      0      0      0   1512   1410   1713      4      0 
    1    286     65     67     96     28      0      0      0      0   1512   1410   1913      4      0 
    0    254     62     65     94     25      0      0      0      0   1512   1410   1713      4      0 
    1    289     65     67     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    251     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    300     65     67     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    258     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    291     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    255     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    291     65     67     97     28      0      0      0      0   1512   1410   1913      4      0 
    0    258     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    291     65     67     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    251     62     65     93     25      0      0      0      0   1512   1410   1717      4      0 
    1    294     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    253     62     65     94     25      0      0      0      0   1512   1410   1713      4      0 
    1    290     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    264     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    289     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    251     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    278     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    263     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    287     65     67     96     28      0      0      0      0   1512   1410   1913      4      0 
    0    262     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    283     65     67     97     28      0      0      0      0   1512   1410   1913      4      0 
    0    257     62     65     94     25      0      0      0      0   1512   1410   1713      4      0 
    1    289     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    253     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    282     65     67     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    254     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    299     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    251     62     65     94     25      0      0      0      0   1512   1410   1713      4      0 
    1    282     65     67     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    250     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    285     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    256     62     65     94     25      0      0      0      0   1512   1410   1713      4      0 
    1    290     65     67     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    254     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    293     65     67     96     28      0      0      0      0   1512   1410   1913      4      0 
    0    254     62     65     94     25      0      0      0      0   1512   1410   1713      4      0 
    1    284     65     67     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    259     62     65     94     25      0      0      0      0   1512   1410   1713      4      0 
    1    283     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    256     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    300     65     67     96     28      0      0      0      0   1512   1410   1913      4      0 
    0    261     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    289     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    263     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    288     65     67     96     28      0      0      0      0   1512   1410   1913      4      0 
    0    255     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    280     65     67     97     28      0      0      0      0   1512   1410   1913      4      0 
    0    256     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    302     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    260     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    285     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    256     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    292     65     67     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    264     62     65     94     25      0      0      0      0   1512   1410   1713      4      0 
    1    295     65     67     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    257     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    276     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    253     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    291     65     67     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    251     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    294     65     67     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    253     62     65     94     25      0      0      0      0   1512   1410   1713      4      0 
    1    291     65     67     96     28      0      0      0      0   1512   1410   1913      4      0 
    0    261     62     65     94     25      0      0      0      0   1512   1410   1717      4      0 
    1    275     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    254     62     65     93     25      0      0      0      0   1512   1410   1713      4      0 
    1    288     65     67     97     28      0      0      0      0   1512   1410   1919      4      0 
