# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     92     46     49     99      0      0      0      0      0   1512   1410   1479      4      0 
    1     77     61     63      0      0      0      0      0      0   1512   1410      0      1      0 
    0     91     46     49     99      0      0      0      0      0   1512   1410   1479      4      0 
    1    223     63     65     94     22      0      0      0      0   1512   1410   1589      4      0 
    0     91     47     49     99      0      0      0      0      0   1512   1410   1479      4      0 
    1    219     65     67     95     22      0      0      0      0   1512   1410   1589      4      0 
    0     92     47     49     99      0      0      0      0      0   1512   1410   1479      4      0 
    1    225     65     69     95     22      0      0      0      0   1512   1410   1589      4      0 
    0     91     46     49     99      0      0      0      0      0   1512   1410   1479      4      0 
    1    225     65     67     95     22      0      0      0      0   1512   1410   1589      4      0 
    0     91     46     47     99      0      0      0      0      0   1512   1410   1479      4      0 
    1    225     65     67     95     22      0      0      0      0   1512   1410   1589      4      0 
    0     91     45     47     99      0      0      0      0      0   1512   1410   1479      4      0 
    1    222     64     67     95     22      0      0      0      0   1512   1410   1589      4      0 
    0     91     45     47     99      0      0      0      0      0   1512   1410   1479      4      0 
    1    227     65     67     95     22      0      0      0      0   1512   1410   1589      4      0 
    0     91     45     47     99      0      0      0      0      0   1512   1410   1479      4      0 
    1    221     65     69     95     22      0      0      0      0   1512   1410   1589      4      0 
    0     90     44     47     99      0      0      0      0      0   1512   1410   1479      4      0 
    1    220     65     67     95     22      0      0      0      0   1512   1410   1589      4      0 
    0     89     44     47     99      0      0      0      0      0   1512   1410   1479      4      0 
    1    221     65     67     95     22      0      0      0      0   1512   1410   1589      4      0 
    0     89     44     47     99      0      0      0      0      0   1512   1410   1479      4      0 
    1    224     65     67     95     22      0      0      0      0   1512   1410   1589      4      0 
    0     89     44     47     99      0      0      0      0      0   1512   1410   1479      4      0 
    1    224     65     69     95     22      0      0      0      0   1512   1410   1589      4      0 
    0     89     44     47     99      0      0      0      0      0   1512   1410   1479      4      0 
    1    224     65     67     95     22      0      0      0      0   1512   1410   1589      4      0 
