# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     68     39     41      2      0      0      0      0      0   1512   1410      0      1      0 
    1    271     68     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    139     41     43     91      6      0      0      0      0   1512   1410   1507      4      0 
    1    268     68     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    138     42     43     91      6      0      0      0      0   1512   1410   1507      4      0 
    1    291     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    141     42     43     91      6      0      0      0      0   1512   1410   1507      4      0 
    1    267     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    141     43     45     91      6      0      0      0      0   1512   1410   1507      4      0 
    1    267     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    141     43     45     91      6      0      0      0      0   1512   1410   1507      4      0 
    1    268     68     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    147     44     45     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    268     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    149     44     45     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    274     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    150     45     45     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    274     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    149     45     47     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    270     68     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    151     45     47     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    275     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    151     46     47     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    280     69     69    100      9      0      0      0      0   1512   1410   1909      4      0 
    0    150     46     47     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    272     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    151     46     47     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    270     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    153     46     47     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    274     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    152     47     47     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    264     68     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    153     47     49     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    274     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    153     47     49     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    279     69     69    100      9      0      0      0      0   1512   1410   1909      4      0 
    0    154     47     49     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    276     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    153     47     49     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    276     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    153     47     49     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    281     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    153     48     49     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    284     69     69    100      9      0      0      0      0   1512   1410   1909      4      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    152     48     49     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    273     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    154     48     49     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    290     69     69    100      9      0      0      0      0   1512   1410   1909      4      0 
    0    155     48     49     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    263     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    152     48     49     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    288     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    153     48     49     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    275     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    154     48     49     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    287     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    154     48     49     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    278     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    150     48     49     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    280     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    154     48     49     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    275     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    154     49     49     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    274     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    153     49     49     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    274     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    153     49     49     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    274     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
    0    153     49     49     98      6      0      0      0      0   1512   1410   1505      4      0 
    1    276     69     69    100      8      0      0      0      0   1512   1410   1909      4      0 
