# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    237     64     65    100      7      0      0      0      0   1512   1410   1781      4      0 
    1     67     38     41      2      0      0      0      0      0   1512   1410      0      1      0 
    0    238     65     65    100      7      0      0      0      0   1512   1410   1781      4      0 
    1    229     42     47     98     44      0      0      0      0   1512   1410   1713      4      0 
    0    256     65     65    100      7      0      0      0      0   1512   1410   1781      4      0 
    1    230     44     49     98     44      0      0      0      0   1512   1410   1713      4      0 
    0    231     65     65    100      7      0      0      0      0   1512   1410   1781      4      0 
    1    235     46     51     98     44      0      0      0      0   1512   1410   1713      4      0 
    0    240     65     65    100      7      0      0      0      0   1512   1410   1781      4      0 
    1    234     47     51     98     44      0      0      0      0   1512   1410   1713      4      0 
    0    242     65     65    100      7      0      0      0      0   1512   1410   1781      4      0 
    1    232     48     53     98     44      0      0      0      0   1512   1410   1713      4      0 
    0    241     65     65    100      7      0      0      0      0   1512   1410   1781      4      0 
    1    242     50     53     98     44      0      0      0      0   1512   1410   1713      4      0 
    0    235     65     65    100      7      0      0      0      0   1512   1410   1781      4      0 
    1    240     51     55     98     44      0      0      0      0   1512   1410   1713      4      0 
    0    246     64     65    100      7      0      0      0      0   1512   1410   1781      4      0 
    1    239     51     55     98     44      0      0      0      0   1512   1410   1713      4      0 
    0    238     65     65    100      7      0      0      0      0   1512   1410   1781      4      0 
    1    243     53     57     98     44      0      0      0      0   1512   1410   1713      4      0 
    0    247     65     65    100      7      0      0      0      0   1512   1410   1781      4      0 
    1    243     54     57     98     44      0      0      0      0   1512   1410   1713      4      0 
    0    256     65     65    100      7      0      0      0      0   1512   1410   1781      4      0 
    1    247     54     59     98     44      0      0      0      0   1512   1410   1713      4      0 
    0    240     65     65    100      7      0      0      0      0   1512   1410   1781      4      0 
    1    243     55     59     98     44      0      0      0      0   1512   1410   1713      4      0 
    0    246     65     65    100      7      0      0      0      0   1512   1410   1781      4      0 
